ID,Station Name,Access,Owner,Last_Used,Open_Date,DC_Fast,Level1_Charging,Level2_Charging,Address,City,State,Zipcode,Latitude,Longitude,Pricing,Connection_Type
114380,"Lake Pointe Inn, a Select Registry Property - Tesla Destination",public,Tesla Destination,2022-10-06,2015-07-15,,,2.0,174 Lake Pointe Dr,McHenry,MD,21541,39.556658,-79.357445,Free,J1772
114381,Wilcom's Inn - Tesla Destination,public,Tesla Destination,2022-10-06,2017-09-29,,,4.0,11234 Fingerboard Rd,Monrovia,MD,21770,39.346653,-77.270838,Free,J1772
114382,Black Ankle Vineyards - Tesla Destination,public,Tesla Destination,2022-10-06,2017-02-03,,,3.0,14463 Black Ankle Rd,Mount Airy,MD,21771,39.46165,-77.162396,Free,TESLA
114383,Port House Grill - Tesla Destination,public,Tesla Destination,2022-10-06,2016-11-04,,,2.0,15 N Main St,North East,MD,21901,39.60151,-75.943346,Free,TESLA
114384,Haley Farm Inn and Retreat Center - Tesla Destination,public,Tesla Destination,2022-10-06,2016-04-01,,,3.0,16766 Garrett Hwy,Oakland,MD,21550,39.470945,-79.358778,Free,J1772
114385,Ocean City Convention Center - Tesla Destination,public,Tesla Destination,2022-10-06,2016-04-28,,,3.0,4001 Coastal Hwy,Ocean City,MD,21842,38.366495,-75.071961,Free,J1772
114386,Atlantic House Bed and Breakfast - Tesla Destination,public,Tesla Destination,2022-10-06,2016-03-22,,,1.0,501 N Baltimore Ave,Ocean City,MD,21842,38.336537,-75.083956,Free,TESLA
114387,Holiday Inn Oceanfront - Tesla Destination,public,Tesla Destination,2022-10-06,2015-11-03,,,6.0,6600 Coastal Hwy,Ocean City,MD,21842,38.389613,-75.064479,Free,J1772
114388,Princess Royale Hotel - Tesla Destination,public,Tesla Destination,2022-10-06,2016-08-12,,,2.0,9100 Coastal Hwy,Ocean City,MD,21842,38.407642,-75.058072,Free,TESLA
114389,Hilton Suites Ocean City Oceanfront - Tesla Destination,public,Tesla Destination,2022-10-06,2017-03-07,,,2.0,3200 N Baltimore Ave,Ocean City,MD,21842,38.360378,-75.072756,Free,TESLA
114390,Sandaway Waterfront Lodging - Tesla Destination,public,Tesla Destination,2022-10-06,2015-03-28,,,2.0,103 W Strand Rd,Oxford,MD,21654,38.692118,-76.175449,Free,J1772
114392,The Inn at Antietam - Tesla Destination,public,Tesla Destination,2022-10-06,2017-06-19,,,2.0,220 E Main St,Sharpsburg,MD,21782,39.45953,-77.74285,Free,J1772
114393,Chanceford Hall Bed & Breakfast - Tesla Destination,public,Tesla Destination,2022-10-06,2015-08-05,,,2.0,209 W Federal St,Snow Hill,MD,21863,38.172739,-75.396266,Free,J1772
114394,George Brooks House B & B - Tesla Destination,public,Tesla Destination,2022-10-06,2017-07-17,,,2.0,24500 Rolles Range Rd,St Michaels,MD,21663,38.7970133,-76.2277961,Free,J1772
