Fuel_Station_Id,Connector_Type_Code
1629,CHADEMO
1630,TESLA
1631,TESLA
1632,J1772
1633,J1772
1634,J1772
1635,J1772
1636,J1772
1637,J1772
1638,J1772
1639,J1772
1640,CHADEMO
1640,J1772COMBO
1641,J1772
1642,J1772
1643,J1772
1644,J1772
1645,CHADEMO
1645,J1772
1645,J1772COMBO
1646,J1772
1647,J1772
1648,J1772
1649,J1772
1650,J1772
1651,J1772
1652,J1772
1653,J1772
1654,J1772
1655,J1772
1656,J1772
1657,J1772
1658,J1772
1659,J1772
1660,J1772
1661,TESLA
1662,J1772
1663,J1772
1664,J1772
1665,TESLA
1666,J1772
1667,J1772
1668,J1772
1669,J1772
1670,J1772
1671,J1772
1672,J1772
1673,J1772
1674,CHADEMO
1675,J1772
1676,J1772
1677,J1772
1678,J1772
1679,J1772
1680,J1772
1681,J1772
1682,J1772
1683,J1772
1684,J1772
1685,J1772
1686,J1772
1687,CHADEMO
1687,J1772COMBO
1688,J1772
1689,CHADEMO
1689,J1772COMBO
1690,J1772
1691,J1772
1692,J1772
1693,J1772
1694,J1772
1695,J1772
1696,J1772
1697,J1772
1698,J1772
1699,J1772
1700,J1772
1701,J1772
1702,J1772
1703,J1772
1704,CHADEMO
1705,CHADEMO
1706,J1772
1707,J1772
1708,J1772
1709,J1772
1710,CHADEMO
1710,J1772
1710,J1772COMBO
1711,J1772
1712,J1772
1713,J1772
1714,J1772
1715,J1772
1716,J1772
1717,J1772
1718,J1772
1719,J1772
1720,J1772
1721,J1772
1722,J1772
1723,J1772
1724,J1772
1725,J1772
1726,J1772
1727,J1772
1728,J1772
1729,J1772
1730,J1772
1731,J1772
1732,J1772
1733,J1772
1734,J1772
1735,J1772
1736,J1772
1737,J1772
1738,J1772
1739,J1772
1740,J1772
1741,J1772
1742,J1772
1743,J1772
1744,J1772
1745,J1772
1746,J1772
1747,J1772
1748,J1772
1749,J1772
1750,J1772
1751,J1772
1752,J1772
1753,CHADEMO
1754,J1772
1755,J1772
1756,J1772
1757,J1772
1758,J1772
1759,J1772
1760,J1772
1761,J1772
1762,J1772
1763,J1772
1764,J1772
1765,J1772
1766,J1772
1767,J1772
1768,CHADEMO
1769,CHADEMO
1770,J1772
1771,J1772
1772,J1772
1773,J1772
1774,J1772
1775,J1772
1776,J1772
1777,J1772
1778,J1772
1779,J1772
1780,J1772
1781,J1772
1782,J1772
1783,J1772
1784,J1772
1785,J1772
1786,CHADEMO
1787,CHADEMO
1788,CHADEMO
1789,CHADEMO
1790,CHADEMO
1790,J1772
1790,J1772COMBO
1791,J1772
1792,J1772
1793,J1772
